,r2_lasso,r2_RF,r2_NN,r2_DT,r2_SVM,r2_lasso_scram,r2_RF_scram,r2_NN_scram,r2_DT_scram_list,r2_SVM_scram_list
0,0.39,0.782,0.637,0.729,0.68,0.327,0.792,0.599,0.739,0.699
1,0.397,0.76,0.63,0.722,0.662,0.351,0.765,0.569,0.698,0.696
2,0.421,0.798,0.598,0.778,0.677,0.377,0.805,0.571,0.77,0.749
3,0.435,0.825,0.677,0.778,0.721,0.361,0.818,0.613,0.749,0.772
4,0.358,0.829,0.675,0.794,0.66,0.303,0.824,0.601,0.762,0.713
5,0.447,0.829,0.709,0.795,0.723,0.381,0.821,0.665,0.779,0.781
6,0.387,0.788,0.649,0.744,0.677,0.367,0.783,0.59,0.708,0.714
7,0.46,0.848,0.723,0.794,0.724,0.405,0.845,0.714,0.811,0.801
8,0.432,0.837,0.663,0.804,0.7,0.381,0.836,0.616,0.789,0.746
9,0.349,0.765,0.619,0.743,0.655,0.333,0.765,0.567,0.685,0.716
10,0.433,0.808,0.683,0.783,0.725,0.376,0.802,0.64,0.745,0.765
11,0.428,0.852,0.723,0.821,0.73,0.373,0.845,0.682,0.806,0.778
12,0.401,0.793,0.64,0.77,0.611,0.387,0.803,0.587,0.747,0.756
13,0.396,0.814,0.595,0.774,0.615,0.353,0.809,0.54,0.756,0.737
14,0.446,0.856,0.703,0.808,0.718,0.377,0.857,0.671,0.776,0.79
15,0.385,0.814,0.606,0.759,0.69,0.347,0.814,0.524,0.754,0.748
16,0.438,0.812,0.667,0.757,0.696,0.394,0.819,0.618,0.744,0.746
17,0.397,0.809,0.598,0.781,0.626,0.355,0.801,0.569,0.729,0.701
18,0.413,0.83,0.679,0.751,0.66,0.347,0.827,0.633,0.75,0.749
19,0.37,0.793,0.618,0.748,0.593,0.347,0.783,0.562,0.739,0.724
20,0.422,0.824,0.667,0.774,0.661,0.371,0.833,0.606,0.765,0.77
21,0.435,0.876,0.728,0.836,0.761,0.37,0.871,0.684,0.816,0.831
22,0.431,0.789,0.641,0.761,0.658,0.395,0.787,0.617,0.762,0.739
23,0.449,0.821,0.682,0.763,0.734,0.385,0.822,0.639,0.781,0.795
24,0.367,0.79,0.653,0.745,0.669,0.328,0.78,0.581,0.721,0.727
25,0.398,0.85,0.667,0.808,0.732,0.334,0.842,0.634,0.796,0.771
26,0.435,0.814,0.7,0.766,0.685,0.384,0.808,0.661,0.774,0.722
27,0.418,0.782,0.64,0.746,0.625,0.341,0.796,0.602,0.726,0.693
28,0.455,0.834,0.717,0.784,0.717,0.401,0.831,0.67,0.784,0.759
29,0.427,0.834,0.725,0.786,0.702,0.378,0.828,0.674,0.759,0.778
30,0.43,0.84,0.703,0.822,0.692,0.374,0.833,0.647,0.763,0.755
31,0.437,0.84,0.678,0.785,0.733,0.353,0.831,0.639,0.774,0.764
32,0.424,0.789,0.662,0.739,0.691,0.375,0.789,0.582,0.734,0.71
33,0.384,0.778,0.609,0.739,0.616,0.343,0.792,0.559,0.742,0.703
34,0.385,0.793,0.619,0.741,0.648,0.316,0.805,0.639,0.744,0.736
35,0.452,0.845,0.694,0.801,0.689,0.365,0.837,0.657,0.769,0.761
36,0.445,0.828,0.697,0.788,0.716,0.379,0.821,0.677,0.762,0.768
37,0.411,0.782,0.571,0.73,0.607,0.358,0.781,0.544,0.69,0.674
38,0.412,0.838,0.662,0.776,0.706,0.338,0.833,0.619,0.744,0.738
39,0.42,0.804,0.639,0.787,0.667,0.345,0.8,0.601,0.765,0.702
40,0.434,0.808,0.674,0.761,0.692,0.378,0.818,0.633,0.758,0.758
41,0.413,0.823,0.655,0.731,0.708,0.35,0.826,0.613,0.762,0.729
42,0.387,0.797,0.661,0.744,0.699,0.338,0.796,0.623,0.706,0.743
43,0.427,0.82,0.671,0.777,0.699,0.349,0.811,0.612,0.75,0.753
44,0.448,0.849,0.696,0.811,0.75,0.381,0.843,0.648,0.78,0.786
45,0.382,0.788,0.694,0.756,0.688,0.347,0.787,0.646,0.712,0.738
46,0.371,0.768,0.634,0.706,0.608,0.316,0.774,0.588,0.746,0.692
47,0.377,0.804,0.645,0.748,0.656,0.352,0.807,0.638,0.74,0.716
48,0.448,0.814,0.685,0.781,0.673,0.401,0.821,0.622,0.766,0.761
49,0.468,0.804,0.653,0.745,0.661,0.398,0.816,0.611,0.73,0.751
50,0.375,0.804,0.614,0.749,0.615,0.34,0.808,0.571,0.747,0.703
51,0.451,0.827,0.648,0.78,0.73,0.388,0.832,0.601,0.761,0.754
52,0.444,0.854,0.738,0.833,0.762,0.364,0.857,0.703,0.803,0.767
53,0.39,0.824,0.68,0.784,0.694,0.323,0.826,0.648,0.767,0.755
54,0.388,0.807,0.661,0.783,0.632,0.334,0.817,0.586,0.743,0.743
55,0.389,0.782,0.597,0.753,0.655,0.313,0.786,0.61,0.701,0.724
56,0.429,0.819,0.709,0.778,0.725,0.345,0.821,0.662,0.772,0.769
57,0.462,0.845,0.733,0.798,0.733,0.382,0.843,0.676,0.767,0.79
58,0.45,0.814,0.616,0.782,0.695,0.367,0.814,0.581,0.755,0.758
59,0.427,0.856,0.703,0.819,0.754,0.37,0.859,0.69,0.804,0.825
60,0.422,0.824,0.653,0.749,0.681,0.364,0.816,0.584,0.734,0.753
61,0.421,0.793,0.611,0.766,0.62,0.372,0.795,0.58,0.741,0.729
62,0.414,0.819,0.637,0.791,0.685,0.37,0.825,0.594,0.793,0.766
63,0.441,0.827,0.657,0.775,0.691,0.397,0.824,0.642,0.74,0.762
64,0.391,0.808,0.629,0.768,0.645,0.354,0.809,0.612,0.741,0.74
65,0.469,0.836,0.734,0.807,0.718,0.372,0.832,0.705,0.765,0.77
66,0.43,0.827,0.668,0.809,0.729,0.369,0.825,0.645,0.793,0.768
67,0.43,0.838,0.687,0.802,0.681,0.355,0.841,0.627,0.779,0.753
68,0.431,0.819,0.65,0.777,0.661,0.38,0.817,0.583,0.768,0.748
69,0.419,0.858,0.68,0.823,0.705,0.366,0.853,0.657,0.775,0.782
70,0.41,0.833,0.64,0.78,0.655,0.399,0.839,0.64,0.781,0.782
71,0.466,0.866,0.699,0.823,0.763,0.4,0.864,0.677,0.813,0.798
72,0.432,0.836,0.718,0.799,0.704,0.362,0.84,0.686,0.768,0.786
73,0.354,0.79,0.632,0.757,0.657,0.29,0.8,0.567,0.719,0.707
74,0.387,0.774,0.6,0.757,0.657,0.32,0.78,0.555,0.716,0.707
75,0.422,0.845,0.714,0.8,0.697,0.34,0.831,0.683,0.741,0.797
76,0.397,0.835,0.659,0.789,0.644,0.352,0.834,0.587,0.739,0.741
77,0.433,0.758,0.624,0.711,0.637,0.385,0.759,0.556,0.71,0.679
78,0.422,0.777,0.62,0.732,0.628,0.369,0.786,0.55,0.721,0.73
79,0.41,0.765,0.504,0.702,0.625,0.381,0.782,0.465,0.703,0.703
80,0.416,0.788,0.653,0.752,0.65,0.366,0.791,0.591,0.759,0.714
81,0.443,0.803,0.674,0.761,0.701,0.359,0.801,0.622,0.719,0.728
82,0.432,0.799,0.67,0.753,0.701,0.352,0.793,0.577,0.751,0.732
83,0.436,0.837,0.641,0.799,0.725,0.365,0.831,0.569,0.781,0.742
84,0.426,0.851,0.696,0.815,0.755,0.348,0.853,0.636,0.772,0.791
85,0.373,0.812,0.632,0.756,0.659,0.326,0.804,0.591,0.749,0.724
86,0.426,0.842,0.713,0.809,0.732,0.389,0.838,0.667,0.794,0.8
87,0.391,0.809,0.612,0.742,0.665,0.376,0.81,0.593,0.749,0.732
88,0.455,0.821,0.66,0.762,0.683,0.394,0.818,0.618,0.77,0.771
89,0.433,0.856,0.677,0.814,0.719,0.383,0.854,0.69,0.805,0.763
90,0.405,0.789,0.625,0.729,0.653,0.368,0.787,0.608,0.742,0.743
91,0.396,0.79,0.632,0.755,0.597,0.328,0.782,0.55,0.721,0.689
92,0.429,0.818,0.667,0.773,0.661,0.382,0.811,0.615,0.741,0.737
93,0.448,0.787,0.696,0.751,0.661,0.392,0.795,0.656,0.76,0.733
94,0.443,0.864,0.706,0.837,0.727,0.365,0.857,0.672,0.794,0.775
95,0.451,0.821,0.634,0.776,0.693,0.379,0.823,0.584,0.761,0.746
96,0.413,0.831,0.664,0.794,0.727,0.366,0.832,0.634,0.772,0.764
97,0.385,0.788,0.563,0.734,0.647,0.327,0.785,0.528,0.719,0.675
98,0.399,0.835,0.643,0.799,0.691,0.319,0.825,0.596,0.752,0.754
99,0.41,0.83,0.674,0.792,0.643,0.345,0.824,0.613,0.777,0.741
